created_at,id,id_str,Text,Label
Sat Aug 11 06:52:08 +0000 2018,1.03E+18,1.03E+18,civil protection fire risk warning aug  attica crete islands several regions across greeces mainland well islands aegean ionian sea high risk fires saturday august th  acco,caution_and_advice
Tue Jul 24 20:03:35 +0000 2018,1.02E+18,1.02E+18, department foreign affairs updates travel advice irish people greece affected wildfires,caution_and_advice
Tue Jul 24 16:22:38 +0000 2018,1.02E+18,1.02E+18, wildfires back southern europe not good news intense fire raging vicinity kineta,caution_and_advice
Fri Jul 27 16:42:16 +0000 2018,1.02E+18,1.02E+18,huge wildfires also ravaged parts uk heatwave continues sweep across country blazes underway hampshire dorset hertfordshire north wales greece britain california wildfires ecosystem,caution_and_advice
Tue Jul 24 23:53:02 +0000 2018,1.02E+18,1.02E+18, foreign office wildfires limited areas visits athens greece unaffected,caution_and_advice
Sun Jul 29 07:37:44 +0000 2018,1.02E+18,1.02E+18, two days ago  sentinel detected part effects catastrophic wildfire july  rafina areas near,caution_and_advice
Mon Aug 06 01:39:24 +0000 2018,1.03E+18,1.03E+18,greeces civil protection warns fire risk level aug greeces civil protection issued one fires risk warning monday august   several regions greece high risk level  high,caution_and_advice
Wed Jul 25 12:17:04 +0000 2018,1.02E+18,1.02E+18,information strays pets wild animals affected wildfires,caution_and_advice
Thu Jul 26 13:26:23 +0000 2018,1.02E+18,1.02E+18,danger flooding new threat fire stricken greece,caution_and_advice
Sun Aug 05 01:50:30 +0000 2018,1.03E+18,1.03E+18,fire risk warning aug  attica aegean islands otherrelevantinformation regions greece news,caution_and_advice
Tue Jul 24 13:34:50 +0000 2018,1.02E+18,1.02E+18, greece wildfires number areas southern greece including close athens visits greece,caution_and_advice
Mon Aug 13 01:17:36 +0000 2018,1.03E+18,1.03E+18,high risk fires warning islands attica otherrelevantinformation regions greece greeces civil protection issued high risk warning wildfires sunday august th  according statement large parts,caution_and_advice
Tue Jul 24 13:15:06 +0000 2018,1.02E+18,1.02E+18,eastern western attica declared state emergency wildfire greecefires,caution_and_advice
Thu Aug 02 11:16:29 +0000 2018,1.02E+18,1.02E+18,high risk fires attica evia chios lesvos greece greecefires,caution_and_advice
Sat Nov 10 20:43:26 +0000 2018,1.06E+18,1.06E+18,beach conditions santa monica  unbelievable dense smoke fires whisked southward winds pick up california  santa monica pier,caution_and_advice
Tue Nov 20 14:37:06 +0000 2018,1.06E+18,1.06E+18, rain wildfirescarred california end fire threat residents preparing flooding mudslides,caution_and_advice
Tue Nov 20 19:52:43 +0000 2018,1.06E+18,1.06E+18, four inches rain could hit paradise week help firefighters battling camp fire could make h,caution_and_advice
Wed Nov 14 07:47:51 +0000 2018,1.06E+18,1.06E+18, camp fire incident update  pm campfire,caution_and_advice
Mon Nov 19 04:11:32 +0000 2018,1.06E+18,1.06E+18, psa california fire victims heads up,caution_and_advice
Wed Nov 21 20:56:31 +0000 2018,1.07E+18,1.07E+18,fires depleting california rain approaching could cause severe mudslides effected areas debris want help prepared stay safe,caution_and_advice
Sat Nov 10 07:23:52 +0000 2018,1.06E+18,1.06E+18, fires california major health issuesmoke ash harmful health even people healthy p,caution_and_advice
Thu Nov 15 15:00:02 +0000 2018,1.06E+18,1.06E+18,public health emergency declared california wildfires via ,caution_and_advice
Sun Nov 18 19:59:00 +0000 2018,1.06E+18,1.06E+18,  butte county contracted private warning system alert residents danger foresight sign u,caution_and_advice
Wed Nov 21 17:53:09 +0000 2018,1.07E+18,1.07E+18, californias nightmare doesnt stop wildfires next come rains,caution_and_advice
Sun Nov 18 12:08:11 +0000 2018,1.06E+18,1.06E+18, california residents wear face masks outside deadly wildfires across state fill air chemicals researc,caution_and_advice
Sun Nov 18 16:37:50 +0000 2018,1.06E+18,1.06E+18,  rain possible northern california wednesday saturday great fighting fires watc,caution_and_advice
Sun Nov 18 18:41:48 +0000 2018,1.06E+18,1.06E+18, air quality california devastating fire leads new danger,caution_and_advice
Tue Nov 20 23:18:37 +0000 2018,1.07E+18,1.07E+18,burn areas brace next disaster heavy rain fall area ravaged camp fire next days possibly leading deadly flash flooding mudslides dangerous debris,caution_and_advice
Sat Nov 10 22:05:47 +0000 2018,1.06E+18,1.06E+18, air quality throughout much northern southern california pretty bad wildfires sky brown,caution_and_advice
Sat Nov 10 14:27:19 +0000 2018,1.06E+18,1.06E+18, southern california fires above stay safe everyone,caution_and_advice
Sat Nov 10 19:41:20 +0000 2018,1.06E+18,1.06E+18, stay alert california critical fire weather continues today store supplies grab quickly need,caution_and_advice
Tue Nov 20 08:50:16 +0000 2018,1.06E+18,1.06E+18,im socal expecting rain forecast tomorrow days  la always use rain especially fires malibu thousand oaks hopefully doesnt cause mudslides rains norcal camp fire sure quality sucks there,caution_and_advice
Sat Nov 10 10:09:49 +0000 2018,1.06E+18,1.06E+18, redflagwarning criticalfireweather issued interior northern california areas southern calif,caution_and_advice
Wed Nov 21 09:29:23 +0000 2018,1.07E+18,1.07E+18, substantial set storms possibly roll ca tuesfri heavy rains likely fire areas  north south califor,caution_and_advice
Sat Nov 10 13:55:08 +0000 2018,1.06E+18,1.06E+18,red flag fire warnings ca camp fire rages control nine fatalities many structures destroyed,caution_and_advice
Sun Nov 18 17:57:38 +0000 2018,1.06E+18,1.06E+18, youre affected fires california staying top air quality index super important,caution_and_advice
Mon Nov 19 17:31:17 +0000 2018,1.06E+18,1.06E+18, devastating wildfires raging california six ways protect home violent flames,caution_and_advice
Thu Nov 22 05:02:08 +0000 2018,1.07E+18,1.07E+18, multiple rounds heavy rain mountain snow forecast west wednesday thanksgiving friday,caution_and_advice
Thu Nov 22 19:12:53 +0000 2018,1.07E+18,1.07E+18, californias wildfires could mean generation lung problems,caution_and_advice
Wed Nov 14 23:54:02 +0000 2018,1.06E+18,1.06E+18,california fires warning video eight months old,caution_and_advice
Thu Nov 15 16:52:32 +0000 2018,1.06E+18,1.06E+18, campfire  times size portland,caution_and_advice
Mon Nov 19 04:42:43 +0000 2018,1.06E+18,1.06E+18,sacramento state remain closed due unhealthy air quality camp fire details linked below,caution_and_advice
Sat Nov 10 16:17:43 +0000 2018,1.06E+18,1.06E+18,ventura county later today ryanmaue smoke model forecast thru sunday california shows forest fires sending choking plumes smoke bay area generally southward pacific,caution_and_advice
Sat Nov 10 08:52:59 +0000 2018,1.06E+18,1.06E+18, paradisefire  californiafires  cawildfires  topanga canyon no relief sight winds pick ,caution_and_advice
Thu Nov 22 16:25:32 +0000 2018,1.07E+18,1.07E+18, california wildfires rain brings threat mudslides,caution_and_advice
Tue Nov 20 08:05:48 +0000 2018,1.06E+18,1.06E+18, cnn schools closed  due california wildfire heres list schools closed day  h,caution_and_advice
Fri Nov 23 02:32:44 +0000 2018,1.07E+18,1.07E+18, critical issue areas experienced wildfires excessive rainfall produced landfalling atmospheric river,caution_and_advice
Mon Nov 12 03:04:51 +0000 2018,1.06E+18,1.06E+18,california wildfires high winds likely fuel blazes tuesday death toll expected rise,caution_and_advice
Mon Nov 19 23:01:49 +0000 2018,1.06E+18,1.06E+18,campfire evacuation orders warnings monday november,caution_and_advice
Thu Nov 15 16:49:06 +0000 2018,1.06E+18,1.06E+18, survivors neighbors california wildfires next danger could come water says ubuffalo disaster respons,caution_and_advice
Mon Nov 19 22:10:35 +0000 2018,1.06E+18,1.06E+18,new developments california wildfires weather patterns change,caution_and_advice
Sun Nov 11 19:45:15 +0000 2018,1.06E+18,1.06E+18, send support impacted campfire please take precautions heed air quality warnings limit,caution_and_advice
Tue Nov 13 10:42:23 +0000 2018,1.06E+18,1.06E+18,good tuesday morning live tracking rain today plus live new deaths confirmed california wildfires lauren live operation christmas child new flight out,caution_and_advice
Wed Nov 21 14:46:15 +0000 2018,1.07E+18,1.07E+18,trump urges congress boost forest management amid california wildfires,caution_and_advice
Thu Nov 22 07:43:14 +0000 2018,1.07E+18,1.07E+18,fires california defense chemicals trails areaffecting state california suggest californians moving fires order protect life future,caution_and_advice
Sun Nov 11 18:54:29 +0000 2018,1.06E+18,1.06E+18, strong santa ana winds continue friday keeping fire danger high across portions southern california https,caution_and_advice
Tue Nov 13 17:36:41 +0000 2018,1.06E+18,1.06E+18,gov browns message california get used fires next twenty years,caution_and_advice
Mon Nov 26 00:02:11 +0000 2018,1.07E+18,1.07E+18, state water resources control board division drinking water cleared boil water notice bwn several,caution_and_advice
Tue Nov 20 14:23:11 +0000 2018,1.06E+18,1.06E+18,chart californias temperature steadily rising terrifying climate change isnt real happening now setting california fire,caution_and_advice
Wed Nov 21 17:27:06 +0000 2018,1.07E+18,1.07E+18,dont go rain toxins make hair fall out fakenews airquality wildfires campfire california,caution_and_advice
Sat Nov 24 01:41:57 +0000 2018,1.07E+18,1.07E+18,themoreyouknow california wildlife wildfires good advice people near burn areas displaced wildlife via wildlife care southern california  we getting lot questions whether put,caution_and_advice
Sun Nov 25 14:33:55 +0000 2018,1.07E+18,1.07E+18,california wild fires may mitigated land management tree cutting increased,caution_and_advice
Fri Nov 23 16:34:27 +0000 2018,1.07E+18,1.07E+18,californias fire season grown longer destructive pge planning add weather stations year along  squaremile service territory spot early warning signs high firerisk conditions,caution_and_advice
Mon Nov 19 22:10:11 +0000 2018,1.06E+18,1.06E+18, happening now news latest california wildfires,caution_and_advice
Tue Nov 20 03:03:53 +0000 2018,1.06E+18,1.06E+18,flash flood watch camp fire wildfire butte county otherrelevantinformation burned areas northern california,caution_and_advice
Tue Nov 20 23:39:52 +0000 2018,1.07E+18,1.07E+18, smoke california fires cause problems wildlife pets,caution_and_advice
Wed Nov 21 14:10:36 +0000 2018,1.07E+18,1.07E+18,california possible debris flows flash possible rain today fire burned areas,caution_and_advice
Sat Nov 10 08:05:23 +0000 2018,1.06E+18,1.06E+18,hey california wildfires serious heres things protect yourself get n mask stay indoors seriously,caution_and_advice
Mon Nov 12 23:21:12 +0000 2018,1.06E+18,1.06E+18, literally like half californias land mass fire alert night,caution_and_advice
Wed Nov 21 15:15:05 +0000 2018,1.07E+18,1.07E+18, bizpac review news blaming california wildfires global warming little grounding fact climate scientist,caution_and_advice
Thu Nov 22 11:42:08 +0000 2018,1.07E+18,1.07E+18,  california fires woolseyfire update,caution_and_advice
Sun Nov 18 21:30:34 +0000 2018,1.06E+18,1.06E+18, millions people northern california suffering worst air pollution world due,caution_and_advice
Wed Nov 28 02:37:46 +0000 2018,1.07E+18,1.07E+18, national weather service issued flash flood watch camp fire impacted areas butte county ,caution_and_advice
Tue Nov 20 19:42:23 +0000 2018,1.06E+18,1.06E+18, smoke forecast said wind could carry smoke deadly california wildfires across nation reaching far,caution_and_advice
Sat Nov 10 18:16:24 +0000 2018,1.06E+18,1.06E+18,reminder people outside current evacuation areas  dangerous fire conditions continue tuesday  red zone prepared leave time know plan wildfire tips woosleyfire californiafires,caution_and_advice
Sat Nov 10 11:46:45 +0000 2018,1.06E+18,1.06E+18, campfire destructive wildfire california psychological first aid  selfcare paramount,caution_and_advice
Wed Nov 21 12:58:41 +0000 2018,1.07E+18,1.07E+18, heavy rain could trigger mudslides flash floods california rescuers search wildfire victims ht,caution_and_advice
Sun Nov 18 22:29:29 +0000 2018,1.06E+18,1.06E+18,nyts months ago dead trees could produce wildfires scale intensity california never seen,caution_and_advice
Tue Nov 20 19:02:50 +0000 2018,1.06E+18,1.06E+18, saw post earlier suggested rainfall smoky areas california extremely toxic this uh seems,caution_and_advice
Sat Nov 10 21:38:38 +0000 2018,1.06E+18,1.06E+18,okay im far fires california stepped house smells like heavy smoke see air cali peeps pls careful outside remember takes face masks californiafires wildfire staysafe,caution_and_advice
Sun Nov 11 19:30:44 +0000 2018,1.06E+18,1.06E+18, safe socal friends santaanawinds reported picking up may adversely impact woolseyfire winds could gust,caution_and_advice
Wed Nov 21 16:38:16 +0000 2018,1.07E+18,1.07E+18,rain arriving california bring threat flooding mudslides friday especially areas scorched wildfires recent past,caution_and_advice
Thu Nov 22 06:00:00 +0000 2018,1.07E+18,1.07E+18,fire season again santa ana winds blow great basin mojave desert southern californias mountain ranges bringing swift dry heat and consequently fire,caution_and_advice
Mon Nov 19 21:24:00 +0000 2018,1.06E+18,1.06E+18,acute effects wildfire smoke could happen frequently damaging fires occur warming world,caution_and_advice
Sun Nov 11 02:46:06 +0000 2018,1.06E+18,1.06E+18,campfire grown square miles death toll  officials warn weather conditions changing worse actonclimate ipccreport extinctionrebellion,caution_and_advice
Tue Nov 20 11:05:19 +0000 2018,1.06E+18,1.06E+18,rain expected wednesday northern california bringing relief also potential mudslides could complicate search remains victims camp fire,caution_and_advice
Wed Nov 14 09:05:44 +0000 2018,1.06E+18,1.06E+18,please leave tubs buckets water near fires many animals fighting survive wildfires woolseyfire repost fire california ventura malibufires pleasehelp,caution_and_advice
Sat Nov 10 18:44:23 +0000 2018,1.06E+18,1.06E+18,point nobody even lite cigarette california wildfires,caution_and_advice
Tue Nov 20 19:05:00 +0000 2018,1.06E+18,1.06E+18,newswkmg officials warning residents already devastated deadliest destructive wildfire californias history rain arriving wednesday could cause flash flooding mudflows,caution_and_advice
Tue Nov 13 16:43:31 +0000 2018,1.06E+18,1.06E+18, wind advisories high wind warnings effect southern california winds gusts reach mph isolated,caution_and_advice
Sun Nov 11 19:45:02 +0000 2018,1.06E+18,1.06E+18,boil water advisory issued communities affected camp fire  kron,caution_and_advice
Tue Nov 20 19:31:52 +0000 2018,1.06E+18,1.06E+18,rainy season brings mudslide danger southern californias fireravaged neighborhoods,caution_and_advice
Fri May 06 22:57:56 +0000 2016,7.29E+17,7.29E+17,wont streaming lost home due fort mcmurray wildfire thankyou red cross helping us evacuated ymmfire,displaced_people_and_evacuations
Sat May 07 05:01:28 +0000 2016,7.29E+17,7.29E+17,boys reunite parents separated wildfire evacuation,displaced_people_and_evacuations
Fri May 13 18:18:09 +0000 2016,7.31E+17,7.31E+17, hundreds temporary foreign workers fled fort mcmurray face uncertainty otherrelevantinformation evacuees dont https,displaced_people_and_evacuations
Fri May 13 18:58:02 +0000 2016,7.31E+17,7.31E+17,fortmacfire evacuees getting help need loveit albertastrong proud,displaced_people_and_evacuations
Mon May 16 23:31:09 +0000 2016,7.32E+17,7.32E+17, fort mcmurray wildfire mandatory evacuation issued camps north city ymmfire ymm,displaced_people_and_evacuations
Tue May 17 00:24:37 +0000 2016,7.32E+17,7.32E+17, oilsands workers camps north fortmcmurray forced evacuate due new wildfire,displaced_people_and_evacuations
Sat May 07 23:19:56 +0000 2016,7.29E+17,7.29E+17,please help people evacuate wildfire fort mcmurray can,displaced_people_and_evacuations
Mon May 09 01:02:49 +0000 2016,7.29E+17,7.29E+17, acres destroyed already  evacuated,displaced_people_and_evacuations
Mon May 09 16:32:14 +0000 2016,7.30E+17,7.30E+17,wildfire evacuees suffering gastrointestinal illness viral outbreak evac centre,displaced_people_and_evacuations
Mon May 09 19:54:07 +0000 2016,7.30E+17,7.30E+17, important information evacuees ymmfire,displaced_people_and_evacuations
Tue May 10 17:49:52 +0000 2016,7.30E+17,7.30E+17,students displaced ymmfire exempt pats diplomas option write,displaced_people_and_evacuations
Sun May 15 14:38:55 +0000 2016,7.32E+17,7.32E+17,app released fort mcmurray evacueesuses satellite images provided government canada plaidesa,displaced_people_and_evacuations
Tue May 17 00:58:51 +0000 2016,7.32E+17,7.32E+17,update fort mcmurray wildfire growth forces evacuation work camps ymmfire ymm,displaced_people_and_evacuations
Tue May 17 07:56:26 +0000 2016,7.32E+17,7.32E+17,workers evacuated alberta oil camps due wildfire  workers oil camps north fireravaged canadian city ,displaced_people_and_evacuations
Tue May 17 18:50:13 +0000 2016,7.33E+17,7.33E+17,wildfire forces evacuation fortmac oilsands camps,displaced_people_and_evacuations
Wed May 18 12:05:42 +0000 2016,7.33E+17,7.33E+17,  evacuated alberta wildfire turns donate help victims,displaced_people_and_evacuations
Wed May 18 14:16:42 +0000 2016,7.33E+17,7.33E+17,hours thousands oil workers told evacuate area fort mcmurray wildfire destroyed,displaced_people_and_evacuations
Sat May 21 04:52:48 +0000 2016,7.34E+17,7.34E+17, homes evacuated wildfire northwestern arizona ,displaced_people_and_evacuations
Sat May 21 17:52:35 +0000 2016,7.34E+17,7.34E+17,fort mcmurray evacuees staying outside alberta got government wildfire assistance funds know,displaced_people_and_evacuations
Tue May 24 15:42:09 +0000 2016,7.35E+17,7.35E+17,positive thoughts fhomeowners fort mcmurray evacuees begin return june rebuild starts gpab ymm,displaced_people_and_evacuations
Fri May 06 18:05:10 +0000 2016,7.29E+17,7.29E+17,massive convoy underway move fortmacfire evacuees  more kamloops,displaced_people_and_evacuations
Mon May 09 17:12:18 +0000 2016,7.30E+17,7.30E+17,mt viral stomach bug outbreak among fort mcmurray wildfire evacuees reception ctr,displaced_people_and_evacuations
Wed May 11 20:00:34 +0000 2016,7.30E+17,7.30E+17,video evacuees fort mcmurray alberta wildfire line receive emergency debit cards,displaced_people_and_evacuations
Thu May 12 00:34:39 +0000 2016,7.31E+17,7.31E+17, watch wildfire evacuees line across alberta financial assistance reports ymmfire abfire http,displaced_people_and_evacuations
Fri May 13 13:31:42 +0000 2016,7.31E+17,7.31E+17,canadian airlines break rules wildfire victims flee pets  monsters,displaced_people_and_evacuations
Mon May 16 17:01:35 +0000 2016,7.32E+17,7.32E+17,live now update wildfire help evacuees ymm ymmfire yeg,displaced_people_and_evacuations
Mon May 16 20:07:41 +0000 2016,7.32E+17,7.32E+17,hot dry weather feed wildfire already forced evacuation rural areas near foxcreek,displaced_people_and_evacuations
Mon May 16 23:26:58 +0000 2016,7.32E+17,7.32E+17, camps north ymm including ruth lake camp camps use aostra rd evacuate ymmfire https,displaced_people_and_evacuations
Tue May 17 00:51:32 +0000 2016,7.32E+17,7.32E+17, breaking ymmfire  evacuations wildfire approaches  work camps evacuated,displaced_people_and_evacuations
Tue May 17 11:12:58 +0000 2016,7.33E+17,7.33E+17,reads growing wildfire forces evacuation ymm oilsands camps,displaced_people_and_evacuations
Fri May 20 16:10:58 +0000 2016,7.34E+17,7.34E+17,wildfire evacuee transitional accommodation benefit otherrelevantinformation financial assistance ymmfire,displaced_people_and_evacuations
Tue May 24 03:24:39 +0000 2016,7.35E+17,7.35E+17,going business usual alberta first nations affected wildfire evacuees for,displaced_people_and_evacuations
Tue May 24 18:03:42 +0000 2016,7.35E+17,7.35E+17, practising evacuation notification today preparation wildfire season,displaced_people_and_evacuations
Fri May 06 12:28:36 +0000 2016,7.29E+17,7.29E+17,alberta wildfire bigger new york city evacuees airlifted wildfires ravaging canadas oil hub ,displaced_people_and_evacuations
Fri May 06 13:19:51 +0000 2016,7.29E+17,7.29E+17,fort mcmurray wildfire prompts evacuations fears destruction wake,displaced_people_and_evacuations
Fri May 06 19:48:18 +0000 2016,7.29E+17,7.29E+17,bc firefighters stretched north evacuation orders expanded fort st john,displaced_people_and_evacuations
Fri May 06 19:54:09 +0000 2016,7.29E+17,7.29E+17, update thick smoke flames force temporary halt convoy evacuees camps north fort mcmurray ymmfire,displaced_people_and_evacuations
Sat May 07 13:33:57 +0000 2016,7.29E+17,7.29E+17, people scheduled evacuate shelters head south today ymmfire fortmacfire,displaced_people_and_evacuations
Sun May 08 00:19:56 +0000 2016,7.29E+17,7.29E+17,update evacuation centres schools ymmfire yeg ab,displaced_people_and_evacuations
Mon May 09 15:53:51 +0000 2016,7.30E+17,7.30E+17,fort mcmurray wildfire evacuees calgary thank whove given helping hand yyc yymfire fortmacfire,displaced_people_and_evacuations
Mon May 16 11:56:17 +0000 2016,7.32E+17,7.32E+17,ymm evacuees phoned massive town halls,displaced_people_and_evacuations
Mon May 16 17:48:37 +0000 2016,7.32E+17,7.32E+17,outofcontrol wildfire forces new evacuation municipal district greenview,displaced_people_and_evacuations
Mon May 16 22:44:19 +0000 2016,7.32E+17,7.32E+17, wildfire n ymm expandingmandatory evacuation ymm extended n camps n ymm incl ruth lake camp  https,displaced_people_and_evacuations
Mon May 16 23:05:36 +0000 2016,7.32E+17,7.32E+17,happening now mandatory evacuation oilfield camps north ymm,displaced_people_and_evacuations
Mon May 16 23:14:51 +0000 2016,7.32E+17,7.32E+17,evacuation info abfire fortmacfire fortmacstrong ymmfire,displaced_people_and_evacuations
Tue May 17 14:27:17 +0000 2016,7.33E+17,7.33E+17,an app alberta government showing satellite images fort mcmurray giving evacuees wildfire,displaced_people_and_evacuations
Tue May 17 15:29:40 +0000 2016,7.33E+17,7.33E+17,canada wildfire shifts north oil sands camps warned evacuate,displaced_people_and_evacuations
